Breed Name,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Braque Francais Pyrenean,3,5,5,3,1,2,Smooth,Short,3,3,3,3,3,5,3,3
Braque Saint-Germain,3,5,5,3,3,1,None,None,4,3,2,3,4,3,2,3
Brazilian Terrier,5,5,3,3,1,1,None,None,1,3,5,5,5,5,3,5
Briard,3,3,3,1,4,2,Double,Long,3,3,4,3,3,3,1,3
Brittany,3,4,4,3,3,1,Double,Short,3,4,3,3,5,5,3,4
Broholmer,3,3,3,3,1,3,Smooth,Short,3,3,4,3,3,2,1,3
Brussels Griffon,4,3,3,3,3,1,Wiry,Short,4,4,3,4,4,3,4,3
Bull Terrier,4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4
Bulldog,4,3,3,3,3,3,Smooth,Short,4,4,3,3,4,3,2,3
Bullmastiff,4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4
Cairn Terrier,4,3,3,2,2,1,Wiry,Medium,3,4,4,3,3,3,4,3
Calupoh,5,5,5,3,1,1,None,None,1,3,3,3,3,3,3,1
Canaan Dog,3,3,3,4,2,1,Smooth,Short,3,3,4,3,4,3,5,3
Canadian Eskimo Dog,3,3,3,5,5,1,None,None,5,5,1,3,3,5,0,5
Cane Corso,4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3
Cardigan Welsh Corgi,4,4,3,3,2,1,Double,Medium,4,4,3,3,4,4,5,4
Carolina Dog,3,3,3,3,1,2,Smooth,Short,3,3,3,3,3,3,3,3
Catahoula Leopard Dog,4,3,3,3,2,2,Smooth,Short,3,3,4,3,4,5,1,4
Caucasian Shepherd Dog,3,3,2,4,3,4,Double,Medium,2,2,5,3,3,3,2,3
Cavalier King Charles Spaniel,5,5,5,2,2,2,Wavy,Medium,4,3,3,3,4,3,3,3
Central Asian Shepherd Dog,3,3,3,3,1,3,Double,Medium,1,3,5,4,4,3,3,3
Cesky Terrier,4,5,3,2,2,1,Wavy,Medium,4,3,3,4,3,3,3,3
Chesapeake Bay Retriever,4,3,3,3,3,2,Wiry,Medium,3,3,4,4,5,4,3,4
Chihuahua,4,1,3,2,1,1,Smooth,Short,2,4,4,4,3,4,5,3
Chinese Crested,4,3,3,1,2,1,Hairless,Short,4,3,3,4,4,3,3,3
Chinese Shar-Pei,4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3
Chinook,4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3
Chow Chow,4,3,2,3,3,3,Smooth,Medium,2,3,5,3,3,3,1,3
Cirneco dell'Etna,4,4,4,1,1,0,Smooth,Short,4,4,3,4,4,3,2,4
Clumber Spaniel,4,3,3,3,2,4,Wavy,Medium,4,3,3,4,4,3,1,3
Cocker Spaniel,4,5,5,3,4,2,Double,Long,4,3,3,4,4,4,3,3
Collie,4,5,3,3,3,2,Smooth,Short,3,4,3,4,4,3,5,3
Coton de Tulear,5,5,5,2,4,1,Double,Long,5,4,3,4,4,3,1,3
Croatian Sheepdog,3,3,3,2,1,3,Double,Medium,2,3,5,2,3,3,3,3
Curly-Coated Retriever,5,5,3,2,1,1,Double,Short,3,4,4,4,4,4,3,3
Czechoslovakian Vlciak,5,3,3,3,1,1,None,Medium,1,1,5,1,1,5,1,5
Dachshund,5,3,4,2,2,2,Smooth,Short,4,4,4,4,4,3,5,3
Dalmatian,5,3,3,4,2,2,Smooth,Short,4,4,4,4,4,4,3,4
Dandie Dinmont Terrier,4,3,3,2,3,1,Double,Medium,4,3,4,3,4,3,3,3
Danish-Swedish Farmdog,5,5,5,2,1,1,Smooth,Short,5,4,4,4,4,4,3,4
Deutscher Wachtelhund,4,5,3,2,2,2,Double,Medium,3,3,3,3,4,3,3,3
Doberman Pinscher,5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4
Dogo Argentino,5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4
